Date,Output (MW),Heat Rate (btu/Kwh),Compressor Efficiency,Availability,Reliability,Fired Hours,Trips,Starts
1-Jan-16,150.12,9696.78,89.57,99.87,96.09,16.06,0,9
2-Jan-16,150.76,9846.78,91.52,99.19,96.31,18.27,0,8
3-Jan-16,151.80,9773.59,91.82,98.52,96.78,16.96,1,4
4-Jan-16,152.08,9851.15,89.98,96.15,99.74,18.39,1,9
5-Jan-16,154.37,9793.66,88.80,99.64,96.10,18.90,0,3
6-Jan-16,152.65,9670.19,91.54,97.34,99.19,15.42,1,1
7-Jan-16,151.93,9770.92,88.59,98.58,99.62,17.77,0,10
8-Jan-16,154.53,9651.35,87.31,97.91,98.48,15.40,0,7
9-Jan-16,151.44,9795.74,87.12,99.72,97.47,15.83,0,6
10-Jan-16,150.52,9666.31,89.53,97.53,98.09,15.57,0,2
11-Jan-16,150.46,9666.61,88.63,97.97,99.15,16.38,0,1
12-Jan-16,152.83,9787.83,89.32,98.95,97.46,15.44,1,5
13-Jan-16,154.02,9815.98,90.64,96.02,98.46,15.25,1,5
14-Jan-16,150.20,9802.26,88.23,97.21,97.96,16.61,1,9
15-Jan-16,151.75,9709.19,90.88,97.41,97.18,17.92,0,4
16-Jan-16,150.44,9751.56,91.72,98.74,98.60,17.20,0,4
17-Jan-16,153.52,9765.38,89.78,98.41,98.59,18.68,1,5
18-Jan-16,151.78,9674.03,90.65,96.64,96.01,18.37,0,5
19-Jan-16,153.83,9760.05,88.30,96.49,99.69,15.98,0,4
20-Jan-16,154.78,9660.05,88.05,99.07,98.14,17.90,0,8
21-Jan-16,154.78,9740.90,89.42,97.74,96.19,17.48,1,7
22-Jan-16,150.56,9859.12,87.09,98.92,96.52,17.64,0,10
23-Jan-16,154.90,9630.29,89.63,97.45,98.11,15.55,0,5
24-Jan-16,150.85,9755.39,89.99,98.13,96.50,16.41,1,1
25-Jan-16,153.90,9641.90,91.04,98.71,96.85,15.89,0,6
26-Jan-16,153.61,9817.14,89.70,97.17,96.71,16.58,1,1
27-Jan-16,154.46,9787.00,89.18,97.08,98.84,17.43,0,7
28-Jan-16,150.29,9657.64,90.30,99.90,98.14,18.14,1,1
29-Jan-16,154.69,9826.90,89.95,98.69,99.44,15.61,1,8
30-Jan-16,150.82,9848.30,87.51,97.22,96.93,18.24,0,2
31-Jan-16,153.28,9740.29,89.91,99.16,99.97,15.78,0,6
1-Feb-16,152.47,9652.31,88.61,97.88,96.29,18.68,0,2
2-Feb-16,153.86,9842.35,87.31,99.98,97.38,18.92,0,8
3-Feb-16,150.04,9713.57,87.98,97.37,98.80,17.78,1,3
4-Feb-16,151.31,9854.75,87.83,96.78,98.93,16.91,1,1
5-Feb-16,154.64,9789.57,89.15,96.85,99.99,17.54,1,9
6-Feb-16,152.96,9699.76,87.32,99.97,97.76,17.95,1,1
7-Feb-16,154.45,9831.31,91.58,97.60,97.53,16.17,1,5
8-Feb-16,154.79,9758.75,89.54,97.03,96.70,18.39,1,2
9-Feb-16,152.38,9807.73,91.46,97.12,97.36,17.88,0,6
10-Feb-16,150.43,9686.12,90.92,96.29,97.84,15.63,1,0
11-Feb-16,153.29,9853.87,87.05,96.79,99.43,18.57,0,4
12-Feb-16,152.69,9684.42,88.66,96.70,99.23,16.09,1,8
13-Feb-16,150.07,9698.54,90.70,97.80,96.58,18.16,0,7
14-Feb-16,151.75,9831.20,90.46,99.60,96.58,18.91,1,5
15-Feb-16,150.96,9685.34,90.61,97.27,97.51,17.65,1,9
16-Feb-16,151.69,9771.75,87.25,96.92,97.51,18.85,1,0
17-Feb-16,154.56,9833.86,89.05,98.84,98.60,16.90,1,1
18-Feb-16,152.78,9700.26,89.16,96.37,98.95,17.35,1,6
19-Feb-16,154.82,9645.91,89.77,98.37,98.70,15.65,1,3
20-Feb-16,154.52,9647.52,87.31,99.13,96.76,16.85,1,9
21-Feb-16,150.52,9816.76,88.78,97.17,99.69,15.11,1,6
22-Feb-16,150.55,9674.11,88.42,97.19,96.38,15.32,0,4
23-Feb-16,151.10,9807.66,90.65,99.90,99.71,15.63,1,1
24-Feb-16,150.37,9855.74,89.21,99.95,97.93,16.80,0,8
25-Feb-16,150.13,9639.28,91.30,97.86,97.27,17.95,1,4
26-Feb-16,151.59,9639.94,91.07,99.42,97.94,15.34,0,8
27-Feb-16,152.07,9664.26,87.34,99.63,97.21,15.09,1,2
28-Feb-16,151.25,9849.09,90.57,98.30,97.59,18.14,0,3
29-Feb-16,151.04,9754.68,88.40,98.05,99.04,18.03,0,2
1-Mar-16,151.25,9851.22,91.38,97.44,97.51,17.97,0,1
2-Mar-16,152.17,9795.69,90.84,96.44,98.73,18.74,0,2
3-Mar-16,152.18,9825.88,91.72,98.86,97.44,15.42,1,5
